股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
苹果,AAPL,2023-09-29 21:31,172.05,172.15,172.4,171.88,1018143,175103861.0,0.3,0.86,1.46,0.01
苹果,AAPL,2023-09-29 21:32,172.15,172.57,172.67,172.15,322079,55574885.0,0.3,0.24,0.42,0.0
苹果,AAPL,2023-09-29 21:33,172.56,172.09,172.58,172.03,164314,28319193.0,0.32,-0.28,-0.48,0.0
苹果,AAPL,2023-09-29 21:34,172.09,171.91,172.15,171.81,237850,40907437.0,0.2,-0.1,-0.18,0.0
苹果,AAPL,2023-09-29 21:35,171.91,172.01,172.04,171.84,171814,29536802.0,0.12,0.06,0.1,0.0
苹果,AAPL,2023-09-29 21:36,172.01,171.99,172.28,171.98,183872,31650458.0,0.17,-0.01,-0.02,0.0
苹果,AAPL,2023-09-29 21:37,171.99,171.92,172.05,171.82,133217,22897560.0,0.13,-0.04,-0.07,0.0
苹果,AAPL,2023-09-29 21:38,171.92,171.93,172.09,171.86,121501,20893779.0,0.13,0.01,0.01,0.0
苹果,AAPL,2023-09-29 21:39,171.93,172.04,172.09,171.88,163634,28136227.0,0.12,0.06,0.11,0.0
苹果,AAPL,2023-09-29 21:40,172.04,172.11,172.2,172.04,188236,32402741.0,0.09,0.04,0.07,0.0
苹果,AAPL,2023-09-29 21:41,172.11,171.96,172.13,171.85,202797,34866442.0,0.16,-0.09,-0.15,0.0
苹果,AAPL,2023-09-29 21:42,171.96,172.04,172.06,171.86,160246,27552070.0,0.12,0.05,0.08,0.0
苹果,AAPL,2023-09-29 21:43,172.04,172.17,172.21,171.97,207693,35746204.0,0.14,0.08,0.13,0.0
苹果,AAPL,2023-09-29 21:44,172.17,172.1,172.29,172.09,167947,28921699.0,0.12,-0.04,-0.07,0.0
苹果,AAPL,2023-09-29 21:45,172.1,172.12,172.16,171.98,139061,23930330.0,0.1,0.01,0.02,0.0
苹果,AAPL,2023-09-29 21:46,172.12,172.1,172.25,172.07,191625,32993408.0,0.1,-0.01,-0.02,0.0
苹果,AAPL,2023-09-29 21:47,172.1,171.81,172.1,171.77,222604,38262615.0,0.19,-0.17,-0.29,0.0
苹果,AAPL,2023-09-29 21:48,171.81,172.02,172.13,171.8,139240,23940074.0,0.19,0.12,0.21,0.0
苹果,AAPL,2023-09-29 21:49,172.02,172.42,172.55,171.99,334084,57593967.0,0.33,0.23,0.4,0.0
苹果,AAPL,2023-09-29 21:50,172.41,172.36,172.49,172.32,163243,28158006.0,0.1,-0.03,-0.06,0.0
苹果,AAPL,2023-09-29 21:51,172.36,172.29,172.42,172.27,123215,21232112.0,0.09,-0.04,-0.07,0.0
苹果,AAPL,2023-09-29 21:52,172.29,172.3,172.37,172.22,114539,19741323.0,0.09,0.01,0.01,0.0
苹果,AAPL,2023-09-29 21:53,172.3,172.25,172.4,172.22,175111,30182328.0,0.1,-0.03,-0.05,0.0
苹果,AAPL,2023-09-29 21:54,172.25,172.38,172.47,172.23,105740,18227203.0,0.14,0.08,0.13,0.0
苹果,AAPL,2023-09-29 21:55,172.38,172.46,172.48,172.28,105041,18111476.0,0.12,0.05,0.08,0.0
苹果,AAPL,2023-09-29 21:56,172.46,172.44,172.51,172.3,138831,23946045.0,0.12,-0.01,-0.02,0.0
苹果,AAPL,2023-09-29 21:57,172.44,172.48,172.51,172.33,124197,21426054.0,0.1,0.02,0.04,0.0
苹果,AAPL,2023-09-29 21:58,172.48,172.6,172.64,172.47,167258,28875103.0,0.1,0.07,0.12,0.0
苹果,AAPL,2023-09-29 21:59,172.6,172.67,172.77,172.56,241194,41671036.0,0.12,0.04,0.07,0.0
苹果,AAPL,2023-09-29 22:00,172.67,172.7,172.8,172.64,218834,37826634.0,0.09,0.02,0.03,0.0
苹果,AAPL,2023-09-29 22:01,172.7,172.86,172.89,172.7,257003,44413899.0,0.11,0.09,0.16,0.0
苹果,AAPL,2023-09-29 22:02,172.86,172.92,172.96,172.84,242381,41937083.0,0.07,0.03,0.06,0.0
苹果,AAPL,2023-09-29 22:03,172.92,173.05,173.07,172.89,234524,40570188.0,0.1,0.08,0.13,0.0
苹果,AAPL,2023-09-29 22:04,173.05,172.78,173.05,172.76,199968,34582972.0,0.17,-0.16,-0.27,0.0
苹果,AAPL,2023-09-29 22:05,172.78,172.76,172.87,172.64,149035,25747540.0,0.13,-0.01,-0.02,0.0
苹果,AAPL,2023-09-29 22:06,172.76,172.73,172.81,172.7,114612,19796285.0,0.06,-0.02,-0.03,0.0
苹果,AAPL,2023-09-29 22:07,172.73,172.67,172.74,172.64,136543,23578393.0,0.06,-0.03,-0.06,0.0
苹果,AAPL,2023-09-29 22:08,172.67,172.65,172.67,172.56,104594,18061426.0,0.06,-0.01,-0.02,0.0
苹果,AAPL,2023-09-29 22:09,172.66,172.81,172.81,172.66,131843,22794015.0,0.09,0.09,0.16,0.0
苹果,AAPL,2023-09-29 22:10,172.81,172.69,172.83,172.68,128258,22177964.0,0.09,-0.07,-0.12,0.0
苹果,AAPL,2023-09-29 22:11,172.69,172.7,172.74,172.61,185635,32022430.0,0.08,0.01,0.01,0.0
苹果,AAPL,2023-09-29 22:12,172.7,172.71,172.76,172.67,99076,17118514.0,0.05,0.01,0.01,0.0
苹果,AAPL,2023-09-29 22:13,172.71,172.64,172.71,172.58,93133,16082587.0,0.08,-0.04,-0.07,0.0
苹果,AAPL,2023-09-29 22:14,172.64,172.46,172.68,172.44,173413,29923723.0,0.14,-0.1,-0.18,0.0
苹果,AAPL,2023-09-29 22:15,172.46,172.56,172.6,172.45,113842,19642448.0,0.09,0.06,0.1,0.0
苹果,AAPL,2023-09-29 22:16,172.56,172.56,172.63,172.47,88482,15269691.0,0.09,0.0,0.0,0.0
苹果,AAPL,2023-09-29 22:17,172.56,172.55,172.61,172.53,79156,13659074.0,0.05,-0.01,-0.01,0.0
苹果,AAPL,2023-09-29 22:18,172.55,172.56,172.57,172.47,88330,15237089.0,0.06,0.01,0.01,0.0
苹果,AAPL,2023-09-29 22:19,172.57,172.48,172.63,172.47,84099,14513635.0,0.09,-0.05,-0.08,0.0
苹果,AAPL,2023-09-29 22:20,172.48,172.48,172.52,172.39,113673,19605430.0,0.08,0.0,0.0,0.0
苹果,AAPL,2023-09-29 22:21,172.53,172.52,172.6,172.44,85443,14741794.0,0.09,0.02,0.04,0.0
苹果,AAPL,2023-09-29 22:22,172.52,172.41,172.56,172.37,79509,13712841.0,0.11,-0.06,-0.11,0.0
苹果,AAPL,2023-09-29 22:23,172.41,172.36,172.48,172.33,106655,18387956.0,0.09,-0.03,-0.05,0.0
苹果,AAPL,2023-09-29 22:24,172.36,172.3,172.38,172.23,127448,21960021.0,0.09,-0.03,-0.06,0.0
苹果,AAPL,2023-09-29 22:25,172.3,172.1,172.3,172.08,159954,27531346.0,0.13,-0.12,-0.2,0.0
苹果,AAPL,2023-09-29 22:26,172.1,172.1,172.24,172.08,163089,28077168.0,0.09,0.0,0.0,0.0
苹果,AAPL,2023-09-29 22:27,172.1,172.33,172.35,172.1,181653,31287209.0,0.15,0.13,0.23,0.0
苹果,AAPL,2023-09-29 22:28,172.33,172.07,172.38,172.05,178821,30793751.0,0.19,-0.15,-0.26,0.0
苹果,AAPL,2023-09-29 22:29,172.07,172.17,172.19,172.06,88848,15292753.0,0.08,0.06,0.1,0.0
苹果,AAPL,2023-09-29 22:30,172.17,172.25,172.27,172.15,84498,14553839.0,0.07,0.05,0.08,0.0
苹果,AAPL,2023-09-29 22:31,172.27,172.38,172.39,172.22,136996,23608133.0,0.1,0.08,0.13,0.0
苹果,AAPL,2023-09-29 22:32,172.38,172.54,172.55,172.37,172233,29704003.0,0.1,0.09,0.16,0.0
苹果,AAPL,2023-09-29 22:33,172.54,172.59,172.59,172.48,126667,21857292.0,0.06,0.03,0.05,0.0
苹果,AAPL,2023-09-29 22:34,172.59,172.56,172.62,172.5,98963,17076885.0,0.07,-0.02,-0.03,0.0
苹果,AAPL,2023-09-29 22:35,172.56,172.46,172.56,172.43,90127,15545114.0,0.08,-0.06,-0.1,0.0
苹果,AAPL,2023-09-29 22:36,172.46,172.44,172.55,172.39,117000,20180708.0,0.09,-0.01,-0.02,0.0
苹果,AAPL,2023-09-29 22:37,172.44,172.43,172.53,172.36,94104,16227697.0,0.1,-0.01,-0.01,0.0
苹果,AAPL,2023-09-29 22:38,172.43,172.52,172.54,172.38,109011,18801950.0,0.09,0.05,0.09,0.0
苹果,AAPL,2023-09-29 22:39,172.52,172.46,172.58,172.45,105832,18256185.0,0.08,-0.03,-0.06,0.0
苹果,AAPL,2023-09-29 22:40,172.46,172.43,172.57,172.4,71913,12403800.0,0.1,-0.02,-0.03,0.0
苹果,AAPL,2023-09-29 22:41,172.43,172.46,172.48,172.41,76291,13157617.0,0.04,0.02,0.03,0.0
苹果,AAPL,2023-09-29 22:42,172.46,172.41,172.51,172.39,59820,10316336.0,0.07,-0.03,-0.05,0.0
苹果,AAPL,2023-09-29 22:43,172.41,172.45,172.45,172.35,71612,12346168.0,0.06,0.02,0.04,0.0
苹果,AAPL,2023-09-29 22:44,172.45,172.38,172.45,172.28,99895,17217837.0,0.1,-0.04,-0.07,0.0
苹果,AAPL,2023-09-29 22:45,172.38,172.48,172.51,172.38,84569,14586182.0,0.08,0.06,0.1,0.0
苹果,AAPL,2023-09-29 22:46,172.48,172.65,172.66,172.44,106270,18342170.0,0.13,0.1,0.17,0.0
苹果,AAPL,2023-09-29 22:47,172.65,172.71,172.72,172.56,81580,14084206.0,0.09,0.03,0.06,0.0
苹果,AAPL,2023-09-29 22:48,172.71,172.69,172.77,172.65,93664,16182505.0,0.07,-0.01,-0.02,0.0
苹果,AAPL,2023-09-29 22:49,172.69,172.71,172.76,172.64,97943,16917792.0,0.07,0.01,0.02,0.0
苹果,AAPL,2023-09-29 22:50,172.71,172.77,172.77,172.7,83435,14423987.0,0.04,0.03,0.06,0.0
苹果,AAPL,2023-09-29 22:51,172.77,172.66,172.79,172.66,85739,14819135.0,0.08,-0.06,-0.11,0.0
苹果,AAPL,2023-09-29 22:52,172.66,172.51,172.66,172.47,92446,15953060.0,0.11,-0.09,-0.15,0.0
苹果,AAPL,2023-09-29 22:53,172.51,172.54,172.55,172.5,33303,5745217.0,0.03,0.02,0.03,0.0
