开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票公司
660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,腾讯控股
305.24242424242425,305.28363636363633,305.43333333333334,305.0751515151515,31992.424242424244,9746757.575757576,0.1196060606060606,0.00906060606060606,0.02666666666666667,6.0606060606060605e-05,腾讯控股
1.9008871506090805,1.856989941541213,1.8236628196898297,1.9290418753035115,91277.06277235162,27871682.705213282,0.08548085513419248,0.10403117292644334,0.31243977669578127,0.0011001281188844228,腾讯控股
297.6,298.0,298.6,297.2,300.0,92200.0,0.0,-0.33,-1.0,0.0,腾讯控股
303.6,303.8,303.8,303.6,6200.0,1888000.0,0.07,-0.07,-0.2,0.0,腾讯控股
305.8,305.8,305.8,305.6,17950.0,5461420.0,0.07,0.0,0.0,0.0,腾讯控股
306.8,306.8,307.0,306.6,35800.0,10982740.0,0.13,0.07,0.2,0.0,腾讯控股
308.4,308.4,308.4,308.2,1537100.0,470681440.0,0.67,0.67,2.0,0.02,腾讯控股
780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,苹果
170.5934358974359,170.59623076923077,170.67530769230768,170.50915384615385,142042.6,24193442.82051282,0.09771794871794871,0.0004102564102564106,0.000666666666666666,0.00015384615384615385,苹果
0.8359527105453564,0.8345602321464164,0.803054363572091,0.875664458174456,338455.457529747,57680431.21676429,0.08310206809144807,0.10311122101791734,0.17520519176446742,0.002260771807939014,苹果
167.98,168.0,168.44,167.62,31579.0,5398792.0,0.02,-1.43,-2.43,0.0,苹果
170.14,170.15,170.21,170.04,71402.0,12190748.0,0.06,-0.04,-0.06,0.0,苹果
170.73,170.73,170.8,170.65,104700.5,17846409.0,0.08,0.0,0.0,0.0,苹果
171.21,171.21,171.28,171.16,150743.0,25588342.0,0.11,0.05,0.08,0.0,苹果
172.01,172.01,172.03,171.88,6283043.0,1072757232.0,1.28,0.33,0.56,0.04,苹果
480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,贵州茅台
1803.6844166666665,1803.5943333333335,1804.4024583333332,1802.9004583333333,85.57083333333334,15436720.666666666,0.0832916666666667,-0.003708333333333333,-0.06437500000000002,4.1666666666666665e-05,贵州茅台
4.9238117345423005,4.769244060377503,5.05330163452903,4.5257173041693814,88.52662682449923,15993000.09894858,0.06519921562002833,0.07513938567125489,1.3559412391582846,0.0006448230756467772,贵州茅台
1798.02,1798.0,1798.18,1797.8,0.0,0.0,0.0,-0.25,-4.54,0.0,贵州茅台
1800.2175,1800.2825,1800.99,1800.0,41.75,7527993.25,0.04,-0.05,-0.83,0.0,贵州茅台
1802.0149999999999,1802.005,1802.995,1801.03,59.0,10630736.5,0.07,0.0,0.0,0.0,贵州茅台
1804.92,1804.815,1805.5725,1803.85,89.0,16026019.5,0.11,0.03,0.545,0.0,贵州茅台
1824.98,1820.7,1824.98,1816.11,696.0,126608566.0,0.61,0.37,6.7,0.01,贵州茅台
