股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
腾讯控股,00700,2023-09-29 09:31,297.6,298.0,298.8,297.2,461700,137458860.0,0.54,0.2,0.6,0.0
腾讯控股,00700,2023-09-29 09:32,298.2,298.4,298.6,298.0,66300,19774620.0,0.2,0.13,0.4,0.0
腾讯控股,00700,2023-09-29 09:33,298.6,300.4,300.4,298.4,217800,65233880.0,0.67,0.67,2.0,0.0
腾讯控股,00700,2023-09-29 09:34,300.4,301.2,301.8,300.4,236000,71045600.0,0.47,0.27,0.8,0.0
腾讯控股,00700,2023-09-29 09:35,301.2,300.6,301.2,300.0,62100,18666140.0,0.4,-0.2,-0.6,0.0
腾讯控股,00700,2023-09-29 09:36,300.6,301.4,301.4,300.6,32100,9664720.0,0.27,0.27,0.8,0.0
腾讯控股,00700,2023-09-29 09:37,301.6,301.4,301.6,300.8,60800,18314200.0,0.27,0.0,0.0,0.0
腾讯控股,00700,2023-09-29 09:38,301.6,302.0,302.2,301.4,50100,15125860.0,0.27,0.2,0.6,0.0
腾讯控股,00700,2023-09-29 09:39,302.0,301.4,302.0,301.2,23000,6934200.0,0.26,-0.2,-0.6,0.0
腾讯控股,00700,2023-09-29 09:40,301.4,302.6,302.6,301.4,67400,20343620.0,0.4,0.4,1.2,0.0
腾讯控股,00700,2023-09-29 09:41,302.6,304.2,304.2,302.6,140800,42717600.0,0.53,0.53,1.6,0.0
腾讯控股,00700,2023-09-29 09:42,303.8,303.2,304.0,303.2,63900,19401240.0,0.26,-0.33,-1.0,0.0
腾讯控股,00700,2023-09-29 09:43,303.2,302.8,303.4,302.4,95100,28809920.0,0.33,-0.13,-0.4,0.0
腾讯控股,00700,2023-09-29 09:44,302.4,302.8,303.4,302.4,93300,28262820.0,0.33,0.0,0.0,0.0
腾讯控股,00700,2023-09-29 09:45,302.8,302.6,303.0,302.6,20700,6264480.0,0.13,-0.07,-0.2,0.0
腾讯控股,00700,2023-09-29 09:46,302.6,303.2,303.4,302.4,80900,24500940.0,0.33,0.2,0.6,0.0
腾讯控股,00700,2023-09-29 09:47,303.4,303.0,303.4,302.8,23900,7247640.0,0.2,-0.07,-0.2,0.0
腾讯控股,00700,2023-09-29 09:48,303.0,302.2,303.0,302.0,44500,13460480.0,0.33,-0.26,-0.8,0.0
腾讯控股,00700,2023-09-29 09:49,302.0,302.4,302.8,302.0,68900,20836360.0,0.26,0.07,0.2,0.0
腾讯控股,00700,2023-09-29 09:50,302.4,302.6,302.6,302.2,16200,4898100.0,0.13,0.07,0.2,0.0
腾讯控股,00700,2023-09-29 09:51,302.4,301.8,302.6,301.6,34800,10512900.0,0.33,-0.26,-0.8,0.0
腾讯控股,00700,2023-09-29 09:52,301.6,301.6,301.6,301.2,31800,9587940.0,0.13,-0.07,-0.2,0.0
腾讯控股,00700,2023-09-29 09:53,301.6,301.6,301.8,301.4,24100,7267880.0,0.13,0.0,0.0,0.0
腾讯控股,00700,2023-09-29 09:54,301.4,301.4,301.6,301.2,19200,5786800.0,0.13,-0.07,-0.2,0.0
腾讯控股,00700,2023-09-29 09:55,301.2,301.6,301.6,301.2,31500,9493340.0,0.13,0.07,0.2,0.0
腾讯控股,00700,2023-09-29 09:56,301.6,302.0,302.0,301.4,39700,11975540.0,0.2,0.13,0.4,0.0
腾讯控股,00700,2023-09-29 09:57,302.0,302.2,302.2,301.8,27300,8241660.0,0.13,0.07,0.2,0.0
腾讯控股,00700,2023-09-29 09:58,302.2,302.2,302.4,302.0,26000,7857360.0,0.13,0.0,0.0,0.0
腾讯控股,00700,2023-09-29 09:59,302.2,301.8,302.2,301.6,15000,4529280.0,0.2,-0.13,-0.4,0.0
腾讯控股,00700,2023-09-29 10:00,301.8,301.8,301.8,301.6,13300,4013600.0,0.07,0.0,0.0,0.0
腾讯控股,00700,2023-09-29 10:01,301.4,301.6,301.8,301.2,57600,17366840.0,0.2,-0.07,-0.2,0.0
腾讯控股,00700,2023-09-29 10:02,301.6,301.8,301.8,301.6,41400,12491760.0,0.07,0.07,0.2,0.0
腾讯控股,00700,2023-09-29 10:03,302.0,302.8,302.8,302.0,56800,17164260.0,0.27,0.33,1.0,0.0
腾讯控股,00700,2023-09-29 10:04,302.6,302.2,302.8,302.2,23000,6960780.0,0.2,-0.2,-0.6,0.0
腾讯控股,00700,2023-09-29 10:05,302.4,302.4,302.4,302.4,4600,1391040.0,0.0,0.07,0.2,0.0
腾讯控股,00700,2023-09-29 10:06,302.4,302.8,302.8,302.4,19900,6021240.0,0.13,0.13,0.4,0.0
腾讯控股,00700,2023-09-29 10:07,302.6,302.6,302.8,302.6,4600,1392380.0,0.07,-0.07,-0.2,0.0
腾讯控股,00700,2023-09-29 10:08,302.6,302.8,303.0,302.6,19200,5813200.0,0.13,0.07,0.2,0.0
腾讯控股,00700,2023-09-29 10:09,303.0,303.2,303.2,303.0,51100,15486640.0,0.07,0.13,0.4,0.0
腾讯控股,00700,2023-09-29 10:10,303.2,303.2,303.2,303.0,9100,2758480.0,0.07,0.0,0.0,0.0
