股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
腾讯控股,00700,2004-06-16,-29.061,-29.105,-29.012,-29.119,439775008,1947628032.0,-0.37,0.3,0.087,26.17
腾讯控股,00700,2004-06-17,-29.105,-29.09,-29.061,-29.109,83801504,355632992.0,-0.16,0.05,0.015,4.99
腾讯控股,00700,2004-06-18,-29.095,-29.129,-29.085,-29.143,36598000,149216992.0,-0.2,-0.13,-0.039,2.18
腾讯控股,00700,2004-06-21,-29.109,-29.134,-29.109,-29.143,22817000,92101000.0,-0.12,-0.02,-0.005,1.36
腾讯控股,00700,2004-06-23,-29.124,-29.051,-29.046,-29.129,55016000,234416992.0,-0.28,0.28,0.083,3.27
腾讯控股,00700,2004-06-24,-29.042,-29.042,-29.032,-29.071,34723000,154304992.0,-0.13,0.03,0.009,2.07
腾讯控股,00700,2004-06-25,-29.042,-29.056,-29.027,-29.066,21212500,94840000.0,-0.13,-0.05,-0.014,1.26
腾讯控股,00700,2004-06-28,-29.061,-29.076,-29.056,-29.085,14746000,63588000.0,-0.1,-0.07,-0.02,0.88
腾讯控股,00700,2004-06-29,-29.076,-29.071,-29.051,-29.076,15081500,65692000.0,-0.09,0.02,0.005,0.9
腾讯控股,00700,2004-06-30,-29.066,-29.076,-29.051,-29.076,12217000,53199000.0,-0.09,-0.02,-0.005,0.73
腾讯控股,00700,2004-07-02,-29.08,-29.066,-29.061,-29.1,13026000,56038000.0,-0.13,0.03,0.01,0.78
腾讯控股,00700,2004-07-05,-29.071,-29.061,-29.056,-29.071,14264000,61832000.0,-0.05,0.02,0.005,0.82
腾讯控股,00700,2004-07-06,-29.061,-29.056,-29.046,-29.066,15429000,67928000.0,-0.07,0.02,0.005,0.88
腾讯控股,00700,2004-07-07,-29.061,-29.08,-29.061,-29.085,13135000,56501000.0,-0.08,-0.08,-0.024,0.75
