Stock Name,Stock Code,Date,Open,Close,High,Low,Volume,Turnover,Amplitude,Change Percent,Change Amount,Turnover Rate
贵州茅台,600519,2001-08-27,-159.23,-159.02,-158.58,-159.56,406318,1410347000.0,-0.61,0.52,0.83,56.83
贵州茅台,600519,2001-08-28,-159.14,-158.76,-158.74,-159.21,129647,463463000.0,-0.3,0.16,0.26,18.13
贵州茅台,600519,2001-08-29,-158.74,-158.86,-158.74,-158.91,53252,194689000.0,-0.11,-0.06,-0.1,7.45
贵州茅台,600519,2001-08-30,-158.88,-158.72,-158.63,-158.93,48013,177558000.0,-0.19,0.09,0.14,6.72
贵州茅台,600519,2001-08-31,-158.71,-158.73,-158.61,-158.78,23231,86231000.0,-0.11,-0.01,-0.01,3.25
贵州茅台,600519,2001-09-03,-158.7,-158.74,-158.62,-158.77,22112,82129000.0,-0.09,-0.01,-0.01,3.09
贵州茅台,600519,2001-09-04,-158.73,-158.64,-158.52,-158.76,37006,139204000.0,-0.15,0.06,0.1,5.18
贵州茅台,600519,2001-09-05,-158.61,-158.65,-158.55,-158.69,26066,97796000.0,-0.09,-0.01,-0.01,3.65
贵州茅台,600519,2001-09-06,-158.67,-158.8,-158.64,-158.83,28997,107078000.0,-0.12,-0.09,-0.15,4.06
贵州茅台,600519,2001-09-07,-158.84,-159.0,-158.75,-159.0,31552,113868000.0,-0.16,-0.13,-0.2,4.41
贵州茅台,600519,2001-09-10,-159.05,-158.8,-158.77,-159.13,18878,68406000.0,-0.23,0.13,0.2,2.64
贵州茅台,600519,2001-09-11,-158.78,-158.88,-158.75,-158.89,11390,41579000.0,-0.09,-0.05,-0.08,1.59
贵州茅台,600519,2001-09-12,-159.07,-158.94,-158.89,-159.07,25045,89421000.0,-0.11,-0.04,-0.06,3.5
贵州茅台,600519,2001-09-13,-158.93,-158.96,-158.87,-158.99,10986,39512000.0,-0.08,-0.01,-0.02,1.54
贵州茅台,600519,2001-09-14,-158.93,-158.87,-158.84,-158.97,7672,27740000.0,-0.08,0.06,0.09,1.07
贵州茅台,600519,2001-09-17,-158.92,-158.97,-158.88,-159.03,8983,32183000.0,-0.09,-0.06,-0.1,1.26
贵州茅台,600519,2001-09-18,-158.96,-158.88,-158.83,-158.96,10773,39006000.0,-0.08,0.06,0.09,1.51
贵州茅台,600519,2001-09-19,-158.87,-158.75,-158.75,-158.92,8650,31597000.0,-0.11,0.08,0.13,1.21
贵州茅台,600519,2001-09-20,-158.76,-158.81,-158.73,-158.84,11173,41189000.0,-0.07,-0.04,-0.06,1.56
贵州茅台,600519,2001-09-21,-158.88,-158.92,-158.82,-158.93,7879,28638000.0,-0.07,-0.07,-0.11,1.1
贵州茅台,600519,2001-09-24,-158.92,-158.92,-158.86,-158.93,4068,14703000.0,-0.04,0.0,0.0,0.57
贵州茅台,600519,2001-09-25,-158.88,-158.89,-158.83,-158.92,3488,12639000.0,-0.06,0.02,0.03,0.49
贵州茅台,600519,2001-09-26,-158.91,-158.92,-158.84,-158.93,4956,17892000.0,-0.06,-0.02,-0.03,0.69
贵州茅台,600519,2001-09-27,-158.92,-158.8,-158.74,-158.93,8778,32085000.0,-0.12,0.08,0.12,1.23
贵州茅台,600519,2001-09-28,-158.76,-158.72,-158.7,-158.84,17088,63169000.0,-0.09,0.05,0.08,2.39
贵州茅台,600519,2001-10-08,-158.74,-158.82,-158.7,-158.88,6552,24091000.0,-0.11,-0.06,-0.1,0.92
贵州茅台,600519,2001-10-09,-158.82,-158.68,-158.64,-158.82,9558,35498000.0,-0.11,0.09,0.14,1.34
贵州茅台,600519,2001-10-10,-158.68,-158.91,-158.65,-158.93,17548,63956000.0,-0.18,-0.14,-0.23,2.45
贵州茅台,600519,2001-10-11,-158.93,-158.98,-158.84,-159.0,12306,44319000.0,-0.1,-0.04,-0.07,1.72
贵州茅台,600519,2001-10-12,-158.95,-158.93,-158.81,-159.32,20010,70897000.0,-0.32,0.03,0.05,2.8
贵州茅台,600519,2001-10-15,-158.95,-159.07,-158.93,-159.15,9755,34501000.0,-0.14,-0.09,-0.14,1.36
贵州茅台,600519,2001-10-16,-159.11,-159.17,-158.97,-159.18,8319,29068000.0,-0.13,-0.06,-0.1,1.16
贵州茅台,600519,2001-10-17,-159.18,-159.29,-159.17,-159.35,12507,42766000.0,-0.11,-0.08,-0.12,1.75
贵州茅台,600519,2001-10-18,-159.29,-159.32,-159.2,-159.35,4983,16999000.0,-0.09,-0.02,-0.03,0.7
贵州茅台,600519,2001-10-19,-159.33,-159.43,-159.3,-159.53,15687,52422000.0,-0.14,-0.07,-0.11,2.19
贵州茅台,600519,2001-10-22,-159.47,-159.57,-159.39,-159.59,9760,32268000.0,-0.13,-0.09,-0.14,1.37
贵州茅台,600519,2001-10-23,-158.93,-158.92,-158.92,-159.13,40598,145710000.0,-0.13,0.41,0.65,5.68
贵州茅台,600519,2001-10-24,-158.78,-158.96,-158.78,-159.11,40682,147001000.0,-0.21,-0.03,-0.04,5.69
贵州茅台,600519,2001-10-25,-158.99,-159.16,-158.97,-159.16,16036,56527000.0,-0.12,-0.13,-0.2,2.24
贵州茅台,600519,2001-10-26,-159.19,-159.13,-159.11,-159.25,9002,31280000.0,-0.09,0.02,0.03,1.26
贵州茅台,600519,2001-10-29,-159.16,-159.07,-159.01,-159.16,4587,16205000.0,-0.09,0.04,0.06,0.64
贵州茅台,600519,2001-10-30,-159.08,-159.13,-159.04,-159.15,3484,12214000.0,-0.07,-0.04,-0.06,0.49
贵州茅台,600519,2001-10-31,-159.13,-159.12,-159.12,-159.17,4762,16633000.0,-0.03,0.01,0.01,0.67
贵州茅台,600519,2001-11-01,-159.12,-159.02,-159.01,-159.14,6643,23511000.0,-0.08,0.06,0.1,0.93
贵州茅台,600519,2001-11-02,-159.08,-159.06,-158.99,-159.1,3435,12189000.0,-0.07,-0.03,-0.04,0.48
贵州茅台,600519,2001-11-05,-159.13,-159.15,-159.08,-159.19,3690,12879000.0,-0.07,-0.06,-0.09,0.52
贵州茅台,600519,2001-11-06,-159.17,-159.1,-159.07,-159.19,2609,9138000.0,-0.08,0.03,0.05,0.36
贵州茅台,600519,2001-11-07,-159.13,-159.36,-159.13,-159.37,9325,31791000.0,-0.15,-0.16,-0.26,1.3
贵州茅台,600519,2001-11-08,-159.46,-159.39,-159.35,-159.54,7402,24682000.0,-0.12,-0.02,-0.03,1.04
贵州茅台,600519,2001-11-09,-159.39,-159.3,-159.24,-159.46,3760,12737000.0,-0.14,0.06,0.09,0.53
贵州茅台,600519,2001-11-12,-159.25,-159.41,-159.25,-159.43,2683,9088000.0,-0.11,-0.07,-0.11,0.38
贵州茅台,600519,2001-11-13,-159.48,-159.4,-159.39,-159.49,2673,8965000.0,-0.06,0.01,0.01,0.37
贵州茅台,600519,2001-11-14,-159.4,-159.4,-159.33,-159.4,769,2599000.0,-0.04,0.0,0.0,0.11
贵州茅台,600519,2001-11-15,-159.4,-159.4,-159.37,-159.43,2193,7378000.0,-0.04,0.0,0.0,0.31
贵州茅台,600519,2001-11-16,-158.89,-159.31,-158.89,-159.33,9954,34600000.0,-0.28,0.06,0.09,1.39
贵州茅台,600519,2001-11-19,-159.3,-159.12,-159.12,-159.31,9955,34600364.0,-0.12,0.12,0.19,1.39
贵州茅台,600519,2001-11-20,-159.09,-159.06,-159.03,-159.15,3735,12950484.0,-0.08,0.04,0.06,0.52
贵州茅台,600519,2001-11-21,-159.04,-159.1,-159.03,-159.15,5114,17957000.0,-0.08,-0.03,-0.04,0.72
贵州茅台,600519,2001-11-22,-159.09,-159.11,-159.07,-159.15,4198,14713000.0,-0.05,-0.01,-0.01,0.59
贵州茅台,600519,2001-11-23,-159.13,-159.14,-159.08,-159.18,3960,13866000.0,-0.06,-0.02,-0.03,0.55
贵州茅台,600519,2001-11-26,-159.13,-159.21,-159.13,-159.23,3100,10749000.0,-0.06,-0.04,-0.07,0.43
贵州茅台,600519,2001-11-27,-159.22,-159.13,-159.12,-159.22,2569,8954000.0,-0.06,0.05,0.08,0.36
贵州茅台,600519,2001-11-28,-159.12,-159.12,-159.06,-159.15,3773,13256000.0,-0.06,0.01,0.01,0.53
贵州茅台,600519,2001-11-29,-159.13,-159.17,-159.09,-159.17,3046,10658000.0,-0.05,-0.03,-0.05,0.43
贵州茅台,600519,2001-11-30,-159.17,-159.07,-159.04,-159.17,4070,14292000.0,-0.08,0.06,0.1,0.57
贵州茅台,600519,2001-12-03,-159.06,-158.9,-158.88,-159.07,16037,57741000.0,-0.12,0.11,0.17,2.24
贵州茅台,600519,2001-12-04,-158.88,-158.89,-158.88,-158.97,6894,24859000.0,-0.06,0.01,0.01,0.96
贵州茅台,600519,2001-12-05,-158.74,-158.93,-158.74,-158.94,15028,54737513.0,-0.13,-0.03,-0.04,2.1
贵州茅台,600519,2001-12-06,-158.95,-158.92,-158.87,-158.97,6372,23004767.0,-0.06,0.01,0.01,0.89
贵州茅台,600519,2001-12-07,-158.91,-158.96,-158.89,-158.97,3908,14031912.0,-0.05,-0.03,-0.04,0.55
贵州茅台,600519,2001-12-10,-158.93,-158.94,-158.92,-158.99,4162,14941666.0,-0.04,0.01,0.02,0.58
贵州茅台,600519,2001-12-11,-158.93,-159.01,-158.93,-159.01,3580,12821499.0,-0.05,-0.04,-0.07,0.5
贵州茅台,600519,2001-12-12,-159.01,-158.98,-158.91,-159.01,4633,16611472.0,-0.06,0.02,0.03,0.65
贵州茅台,600519,2001-12-13,-159.01,-159.08,-158.94,-159.09,3540,12580276.0,-0.09,-0.06,-0.1,0.5
贵州茅台,600519,2001-12-14,-159.13,-159.09,-159.03,-159.13,2841,10026619.0,-0.06,-0.01,-0.01,0.4
贵州茅台,600519,2001-12-17,-159.11,-159.06,-159.01,-159.12,4414,15611050.0,-0.07,0.02,0.03,0.62
贵州茅台,600519,2001-12-18,-159.04,-158.95,-158.94,-159.11,4821,17167382.0,-0.11,0.07,0.11,0.67
贵州茅台,600519,2001-12-19,-158.95,-158.94,-158.84,-159.01,9620,34761229.0,-0.11,0.01,0.01,1.35
